Column,Type
id,int64
listing_url,str
scrape_id,int64
last_scraped,str
source,str
name,str
description,str
neighborhood_overview,str
picture_url,str
host_id,int64
host_url,str
host_name,str
host_since,str
host_location,str
host_about,str
host_response_time,str
host_response_rate,str
host_acceptance_rate,str
host_is_superhost,str
host_thumbnail_url,str
host_picture_url,str
host_neighbourhood,str
host_listings_count,float64
host_total_listings_count,float64
host_verifications,str
host_has_profile_pic,str
host_identity_verified,str
neighbourhood,str
neighbourhood_cleansed,str
neighbourhood_group_cleansed,float64
latitude,float64
longitude,float64
property_type,str
room_type,str
accommodates,int64
bathrooms,float64
bathrooms_text,str
bedrooms,float64
beds,float64
amenities,str
price,str
minimum_nights,int64
maximum_nights,int64
minimum_minimum_nights,float64
maximum_minimum_nights,float64
minimum_maximum_nights,float64
maximum_maximum_nights,float64
minimum_nights_avg_ntm,float64
maximum_nights_avg_ntm,float64
calendar_updated,float64
has_availability,str
availability_30,int64
availability_60,int64
availability_90,int64
availability_365,int64
calendar_last_scraped,str
number_of_reviews,int64
number_of_reviews_ltm,int64
number_of_reviews_l30d,int64
availability_eoy,int64
number_of_reviews_ly,int64
estimated_occupancy_l365d,int64
estimated_revenue_l365d,float64
first_review,str
last_review,str
review_scores_rating,float64
review_scores_accuracy,float64
review_scores_cleanliness,float64
review_scores_checkin,float64
review_scores_communication,float64
review_scores_location,float64
review_scores_value,float64
license,float64
instant_bookable,str
calculated_host_listings_count,int64
calculated_host_listings_count_entire_homes,int64
calculated_host_listings_count_private_rooms,int64
calculated_host_listings_count_shared_rooms,int64
reviews_per_month,float64
